subject,grade,current_score,target_score,duration_weeks,daily_study_hours,learning_style,success_rate
chemistry,10,3.3,5.1,16,1.2,practical,53.9
chemistry,10,3.4,5.8,16,1.9,theory,45.7
chemistry,10,3.6,5.5,14,3.0,practical,57.0
chemistry,10,3.6,5.5,14,1.5,combined,52.4
chemistry,10,3.9,5.9,10,2.0,combined,64.6
chemistry,10,4.5,5.7,10,2.6,theory,62.8
chemistry,10,5.2,7.2,10,2.4,practical,66.0
chemistry,10,5.2,7.7,12,2.6,theory,73.9
chemistry,10,5.4,7.5,8,2.6,combined,73.5
chemistry,10,5.9,7.9,8,3.5,practical,82.7
chemistry,10,6.3,7.8,6,3.0,theory,83.0
chemistry,10,6.5,7.7,8,3.4,combined,83.8
chemistry,10,7.2,8.7,10,2.7,theory,89.4
chemistry,10,7.3,8.7,6,2.4,combined,88.3
chemistry,10,7.4,8.6,10,2.6,practical,81.7
chemistry,10,7.5,9.4,6,3.1,combined,88.8
chemistry,10,7.6,9.4,6,3.5,practical,92.0
chemistry,10,7.6,9.1,4,3.4,theory,90.4
chemistry,10,8.5,9.8,4,2.7,theory,93.4
chemistry,10,8.6,9.9,8,2.8,practical,90.6
chemistry,10,8.9,9.6,8,2.8,combined,93.7
chemistry,10,9.2,10.0,2,3.5,combined,98.5
chemistry,10,9.4,10.0,4,3.3,practical,99.6
chemistry,10,9.4,10.0,4,3.8,theory,97.0
chemistry,11,3.2,5.7,14,1.3,theory,46.2
chemistry,11,3.4,5.2,14,1.4,practical,47.8
chemistry,11,3.7,5.1,14,1.0,combined,52.6
chemistry,11,3.8,5.9,12,2.2,practical,56.2
chemistry,11,3.9,5.9,10,2.2,combined,57.1
chemistry,11,4.3,5.8,12,2.3,theory,58.2
chemistry,11,5.1,7.1,8,2.3,combined,70.9
chemistry,11,5.4,7.5,12,2.0,theory,72.2
chemistry,11,5.6,7.4,8,2.4,practical,70.4
chemistry,11,5.6,7.7,6,3.3,combined,75.5
chemistry,11,6.0,8.0,12,3.0,practical,75.0
chemistry,11,6.2,8.2,8,3.9,theory,78.3
chemistry,11,6.4,8.2,8,3.9,practical,75.0
chemistry,11,7.1,9.0,8,2.0,combined,89.6
chemistry,11,7.3,8.9,8,2.4,practical,87.1
chemistry,11,7.3,8.9,6,2.7,theory,81.3
chemistry,11,7.6,9.0,8,3.5,combined,86.8
chemistry,11,7.8,9.2,6,3.0,practical,87.6
chemistry,11,7.8,9.3,4,3.2,theory,85.6
chemistry,11,8.6,9.9,4,2.2,theory,91.8
chemistry,11,8.9,9.7,8,2.7,practical,91.8
chemistry,11,8.9,9.6,4,2.2,combined,91.6
chemistry,11,9.1,10.0,4,3.3,combined,99.4
chemistry,11,9.3,10.0,4,4.0,practical,96.9
chemistry,11,9.3,10.0,6,3.5,theory,98.5
chemistry,12,3.5,5.6,16,1.7,practical,46.1
chemistry,12,3.6,5.2,14,1.2,theory,51.0
chemistry,12,3.7,5.8,14,2.3,theory,59.7
chemistry,12,4.0,5.4,14,1.8,combined,49.9
chemistry,12,4.1,6.1,10,2.1,combined,62.7
chemistry,12,4.2,5.8,14,2.4,practical,60.2
chemistry,12,5.4,7.9,8,2.3,theory,66.5
chemistry,12,5.5,7.6,10,3.9,practical,83.5
chemistry,12,5.7,8.0,8,2.4,practical,74.0
chemistry,12,5.8,7.4,10,2.9,combined,72.7
chemistry,12,6.0,8.2,6,3.2,theory,82.1
chemistry,12,6.1,7.8,10,3.0,combined,82.8
